Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,10300.000000,10340.000000,9430.000000,9750.000000,0.005426,17637450
2010-03-01,9910.000000,11000.000000,9750.000000,10760.000000,0.005988,26762000
2010-04-01,10820.000000,11580.000000,10360.000000,10540.000000,0.005866,31662000
2010-05-01,10460.000000,10640.000000,9740.000000,10320.000000,0.005743,21199050
2010-06-01,10300.000000,11340.000000,10160.000000,10500.000000,0.005843,23311800
2010-07-01,10460.000000,11220.000000,10240.000000,11140.000000,0.011619,25373400
2010-08-01,11180.000000,11480.000000,10460.000000,10660.000000,0.011118,22588000
2010-09-01,10620.000000,11200.000000,10540.000000,11140.000000,0.011619,30718550
2010-10-01,11180.000000,11820.000000,10880.000000,11060.000000,0.011535,28284900
2010-11-01,10940.000000,12140.000000,10940.000000,11560.000000,0.012057,25028650
2010-12-01,11700.000000,13140.000000,11560.000000,12980.000000,0.013538,28273950
2011-01-01,13060.000000,13840.000000,12860.000000,13300.000000,0.022910,19562200
2011-02-01,13220.000000,13400.000000,11860.000000,12140.000000,0.020912,22501150
2011-03-01,12140.000000,12500.000000,11660.000000,12500.000000,0.021532,26770100
2011-04-01,12560.000000,12760.000000,12020.000000,12600.000000,0.021705,21965900
2011-05-01,12600.000000,12880.000000,11600.000000,11960.000000,0.020602,19657900
2011-06-01,12000.000000,12060.000000,10920.000000,11200.000000,0.019293,20469600
2011-07-01,11200.000000,12180.000000,11020.000000,11240.000000,0.020277,16027150
2011-08-01,11400.000000,11620.000000,9200.000000,10860.000000,0.019591,19439150
2011-09-01,11000.000000,11500.000000,10120.000000,11420.000000,0.020602,24612550
2011-10-01,11000.000000,12800.000000,10820.000000,12800.000000,0.023091,29270850
2011-11-01,12540.000000,13100.000000,11520.000000,12340.000000,0.022261,27578550
2011-12-01,12700.000000,13880.000000,12280.000000,13340.000000,0.024065,36717300
2012-01-01,13400.000000,13740.000000,12420.000000,13200.000000,0.038714,33447300
2012-02-01,13300.000000,14020.000000,12800.000000,14020.000000,0.041119,38034700
2012-03-01,14180.000000,16520.000000,13640.000000,15900.000000,0.046633,31999600
2012-04-01,16000.000000,16420.000000,14640.000000,16180.000000,0.047454,41199000
2012-05-01,16260.000000,16260.000000,13800.000000,14220.000000,0.041706,29573500
2012-06-01,14220.000000,15120.000000,13540.000000,14980.000000,0.043935,17937300
2012-07-01,14960.000000,16180.000000,13700.000000,16180.000000,0.049188,23267000
2012-08-01,15820.000000,16080.000000,13980.000000,14580.000000,0.044324,24520300
2012-09-01,14780.000000,15900.000000,14340.000000,15780.000000,0.047972,24946900
2012-10-01,15780.000000,16000.000000,14600.000000,15840.000000,0.048155,47923400
