Date,Open,High,Low,Close,Adj Close,Volume
2015-11-23,3.880000,3.896000,3.877000,3.895000,-49.025509,0
2015-11-24,3.890000,3.890000,3.890000,3.890000,-48.962570,0
2015-11-25,3.907000,3.916000,3.907000,3.916000,-49.289822,100
2015-11-26,4.000000,4.000000,4.000000,4.000000,-50.347115,0
2015-11-27,3.911000,3.911000,3.911000,3.911000,-49.226898,0
2015-11-30,3.862000,3.862000,3.862000,3.862000,-48.610138,0
2015-12-01,3.956000,3.956000,3.956000,3.956000,-49.793304,0
2015-12-02,4.032000,4.032000,4.032000,4.032000,-50.749889,0
2015-12-03,3.913000,3.913000,3.913000,3.913000,-49.252068,0
2015-12-04,3.800000,3.800000,3.800000,3.800000,-47.829758,0
2015-12-07,3.855000,3.855000,3.855000,3.855000,-48.522038,0
2015-12-08,3.895000,3.895000,3.887000,3.887000,-48.924809,0
2015-12-09,3.884000,3.884000,3.884000,3.884000,-48.887051,0
2015-12-10,3.865000,3.865000,3.865000,3.865000,-48.647900,0
2015-12-11,3.789000,3.808000,3.789000,3.808000,-47.930454,0
2015-12-14,3.735000,3.735000,3.735000,3.735000,-47.011612,0
2015-12-15,3.706000,3.706000,3.706000,3.706000,-46.646606,0
2015-12-16,3.763000,3.765000,3.763000,3.765000,-47.389229,0
2015-12-17,3.783000,3.787000,3.783000,3.787000,-47.666134,0
2015-12-18,3.763000,3.763000,3.763000,3.763000,-47.364044,0
2015-12-21,3.788000,3.788000,3.779000,3.779000,-47.565437,0
2015-12-22,3.742000,3.742000,3.734000,3.734000,-46.999031,0
2015-12-23,3.742000,3.742000,3.742000,3.742000,-47.099731,0
2015-12-28,3.692000,3.692000,3.692000,3.692000,-46.470387,0
2015-12-29,3.703000,3.716000,3.703000,3.716000,-46.772472,0
2015-12-30,3.715000,3.715000,3.715000,3.715000,-46.759880,0
2016-01-04,3.676000,3.676000,3.676000,3.676000,-46.269001,0
2016-01-05,3.611000,3.611000,3.611000,3.611000,-45.450863,0
2016-01-06,3.624000,3.635000,3.624000,3.624000,-45.614491,0
2016-01-07,3.643000,3.643000,3.536000,3.536000,-44.506851,8500
2016-01-08,3.569000,3.569000,3.569000,3.569000,-44.922215,0
2016-01-11,3.587000,3.587000,3.587000,3.587000,-45.148777,0
2016-01-12,3.464000,3.466000,3.464000,3.466000,-43.625778,0
2016-01-13,3.673000,3.673000,3.673000,3.673000,-46.231243,0
2016-01-14,3.576000,3.576000,3.576000,3.576000,-45.010323,0
2016-01-15,3.540000,3.540000,3.540000,3.540000,-44.557201,0
2016-01-18,3.474000,3.474000,3.474000,3.474000,-43.726467,0
2016-01-19,3.404000,3.404000,3.404000,3.404000,-42.845402,0
2016-01-20,3.291000,3.291000,3.291000,3.291000,-41.423084,0
2016-01-21,3.236000,3.325000,3.236000,3.315000,-41.725170,0
2016-01-22,3.399000,3.451000,3.399000,3.451000,-43.436974,0
2016-01-25,3.416000,3.416000,3.416000,3.416000,-42.996433,0
2016-01-26,3.343000,3.343000,3.343000,3.343000,-42.077602,0
2016-01-27,3.428000,3.428000,3.428000,3.428000,-43.147480,0
2016-01-28,3.406000,3.406000,3.406000,3.406000,-42.870571,0
2016-01-29,3.415000,3.475000,3.415000,3.472000,-43.701294,0
2016-02-01,3.472000,3.472000,3.472000,3.472000,-43.701294,0
2016-02-02,3.521000,3.521000,3.521000,3.521000,-44.318047,0
2016-02-03,3.583000,3.583000,3.583000,3.583000,-45.098427,0
2016-02-04,3.461000,3.461000,3.414000,3.414000,-42.971260,0
2016-02-05,3.437000,3.437000,3.385000,3.388000,-42.644005,0
2016-02-08,3.509000,3.509000,3.509000,3.509000,-44.167007,0
2016-02-09,3.323000,3.323000,3.323000,3.323000,-41.825867,0
2016-02-10,3.348000,3.435000,3.348000,3.435000,-43.235584,0
2016-02-11,3.413000,3.413000,3.413000,3.413000,-42.958675,0
2016-02-12,3.154000,3.233000,3.142000,3.233000,-40.693054,2000
2016-02-15,3.307000,3.309000,3.307000,3.309000,-41.649654,0
2016-02-16,3.329000,3.329000,3.329000,3.329000,-41.901382,0
2016-02-17,3.401000,3.401000,3.401000,3.401000,-42.807632,0
2016-02-18,3.418000,3.418000,3.418000,3.418000,-43.021610,0
2016-02-19,3.371000,3.371000,3.348000,3.348000,-42.140537,0
2016-02-22,3.418000,3.418000,3.418000,3.418000,-43.021610,0
2016-02-23,3.505000,3.505000,3.478000,3.478000,-43.776821,0
2016-02-24,3.495000,3.495000,3.495000,3.495000,-43.990795,0
2016-02-25,3.544000,3.544000,3.534000,3.534000,-44.481674,0
2016-02-26,3.527000,3.527000,3.527000,3.527000,-44.393570,0
2016-02-29,3.547000,3.656000,3.547000,3.656000,-46.017262,0
2016-03-01,3.590000,3.590000,3.590000,3.590000,-45.186539,0
2016-03-02,3.661000,3.661000,3.661000,3.661000,-46.080200,0
2016-03-03,3.746000,3.747000,3.719000,3.719000,-46.810234,0
2016-03-04,3.757000,3.762000,3.745000,3.745000,-47.137486,0
2016-03-07,3.658000,3.658000,3.658000,3.658000,-46.042442,0
2016-03-08,3.710000,3.710000,3.710000,3.710000,-46.696953,0
2016-03-09,3.734000,3.734000,3.734000,3.734000,-46.999031,0
2016-03-10,3.690000,3.690000,3.690000,3.690000,-46.445213,0
2016-03-11,3.582000,3.652000,3.582000,3.652000,-45.966915,0
2016-03-14,3.711000,3.755000,3.711000,3.755000,-47.263363,0
2016-03-15,3.757000,3.757000,3.757000,3.757000,-47.288528,0
2016-03-16,3.778000,3.794000,3.778000,3.794000,-47.754234,0
2016-03-17,3.729000,3.729000,3.729000,3.729000,-46.936096,0
2016-03-18,3.738000,3.738000,3.738000,3.738000,-47.049374,0
2016-03-21,3.736000,3.736000,3.736000,3.736000,-47.024208,0
2016-03-22,3.766000,3.766000,3.766000,3.766000,-47.401810,0
2016-03-23,3.706000,3.706000,3.706000,3.706000,-46.646606,0
2016-03-24,3.731000,3.731000,3.731000,3.731000,-46.961277,0
2016-03-29,3.724000,3.724000,3.717000,3.717000,34.032959,0
2016-03-30,3.790000,3.790000,3.790000,3.790000,34.701351,0
2016-03-31,3.747000,3.747000,3.747000,3.747000,34.307644,0
2016-04-01,3.627000,3.627000,3.627000,3.627000,33.208920,0
2016-04-04,3.650000,3.663000,3.650000,3.656000,33.474442,0
2016-04-05,3.565000,3.565000,3.565000,3.565000,32.641247,0
2016-04-06,3.576000,3.597000,3.576000,3.597000,32.934238,0
2016-04-07,3.622000,3.622000,3.622000,3.622000,33.163139,0
2016-04-08,3.875000,3.875000,3.875000,3.875000,35.479618,0
2016-04-11,3.923000,3.923000,3.923000,3.923000,35.919102,0
2016-04-12,3.938000,3.938000,3.901000,3.901000,35.717670,660
2016-04-13,3.946000,3.946000,3.946000,3.946000,36.129692,0
2016-04-14,4.064000,4.070000,4.064000,4.070000,37.265041,0
